# xp yp zp Ez Er |E| Hp
# 1111 7
# 1 11 101 7
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.94472600e+06  0.00000000e+00  1.94472600e+06  0.00000000e+00
 9.44715000e-04  0.00000000e+00  0.00000000e+00  1.94071900e+06  0.00000000e+00  1.94071900e+06  0.00000000e+00
 1.88943000e-03  0.00000000e+00  0.00000000e+00  1.92787100e+06  0.00000000e+00  1.92787100e+06  0.00000000e+00
 2.83414000e-03  0.00000000e+00  0.00000000e+00  1.90657600e+06  0.00000000e+00  1.90657600e+06  0.00000000e+00
 3.77886000e-03  0.00000000e+00  0.00000000e+00  1.87587100e+06  0.00000000e+00  1.87587100e+06  0.00000000e+00
 4.72357000e-03  0.00000000e+00  0.00000000e+00  1.83513300e+06  0.00000000e+00  1.83513300e+06  0.00000000e+00
 5.66829000e-03  0.00000000e+00  0.00000000e+00  1.78347000e+06  0.00000000e+00  1.78347000e+06  0.00000000e+00
 6.61301000e-03  0.00000000e+00  0.00000000e+00  1.71991800e+06  0.00000000e+00  1.71991800e+06  0.00000000e+00
 7.55772000e-03  0.00000000e+00  0.00000000e+00  1.64350100e+06  0.00000000e+00  1.64350100e+06  0.00000000e+00
 8.50244000e-03  0.00000000e+00  0.00000000e+00  1.55335200e+06  0.00000000e+00  1.55335200e+06  0.00000000e+00
 9.44715000e-03  0.00000000e+00  0.00000000e+00  1.44885700e+06  0.00000000e+00  1.44885700e+06  0.00000000e+00
 1.03919000e-02  0.00000000e+00  0.00000000e+00  1.32982200e+06  0.00000000e+00  1.32982200e+06  0.00000000e+00
 1.13366000e-02  0.00000000e+00  0.00000000e+00  1.19664300e+06  0.00000000e+00  1.19664300e+06  0.00000000e+00
 1.22813000e-02  0.00000000e+00  0.00000000e+00  1.05045100e+06  0.00000000e+00  1.05045100e+06  0.00000000e+00
 1.32260000e-02  0.00000000e+00  0.00000000e+00  8.93202000e+05  0.00000000e+00  8.93202000e+05  0.00000000e+00
 1.41707000e-02  0.00000000e+00  0.00000000e+00  7.27673500e+05  0.00000000e+00  7.27673500e+05  0.00000000e+00
 1.51154000e-02  0.00000000e+00  0.00000000e+00  5.57345200e+05  0.00000000e+00  5.57345200e+05  0.00000000e+00
 1.60602000e-02  0.00000000e+00  0.00000000e+00  3.82444000e+05  0.00000000e+00  3.82444000e+05  0.00000000e+00
 1.70049000e-02  0.00000000e+00  0.00000000e+00  2.15118400e+05  0.00000000e+00  2.15118400e+05  0.00000000e+00
 1.79496000e-02  0.00000000e+00  0.00000000e+00  5.50415200e+04  0.00000000e+00  5.50415200e+04  0.00000000e+00
 1.88943000e-02  0.00000000e+00  0.00000000e+00 -9.47936000e+04  0.00000000e+00  9.47936000e+04  0.00000000e+00
 1.98390000e-02  0.00000000e+00  0.00000000e+00 -2.32225100e+05  0.00000000e+00  2.32225100e+05  0.00000000e+00
 2.07837000e-02  0.00000000e+00  0.00000000e+00 -3.55974500e+05  0.00000000e+00  3.55974500e+05  0.00000000e+00
 2.17284000e-02  0.00000000e+00  0.00000000e+00 -4.65585800e+05  0.00000000e+00  4.65585800e+05  0.00000000e+00
 2.26732000e-02  0.00000000e+00  0.00000000e+00 -5.61286000e+05  0.00000000e+00  5.61286000e+05  0.00000000e+00
 2.36179000e-02  0.00000000e+00  0.00000000e+00 -6.43808200e+05  0.00000000e+00  6.43808200e+05  0.00000000e+00
 2.45626000e-02  0.00000000e+00  0.00000000e+00 -7.14209800e+05  0.00000000e+00  7.14209800e+05  0.00000000e+00
 2.55073000e-02  0.00000000e+00  0.00000000e+00 -7.73712200e+05  0.00000000e+00  7.73712200e+05  0.00000000e+00
 2.64520000e-02  0.00000000e+00  0.00000000e+00 -8.23574300e+05  0.00000000e+00  8.23574300e+05  0.00000000e+00
 2.73967000e-02  0.00000000e+00  0.00000000e+00 -8.65003000e+05  0.00000000e+00  8.65003000e+05  0.00000000e+00
 2.83415000e-02  0.00000000e+00  0.00000000e+00 -8.99097600e+05  0.00000000e+00  8.99097600e+05  0.00000000e+00
 2.92862000e-02  0.00000000e+00  0.00000000e+00 -9.26822000e+05  0.00000000e+00  9.26822000e+05  0.00000000e+00
 3.02309000e-02  0.00000000e+00  0.00000000e+00 -9.48994700e+05  0.00000000e+00  9.48994700e+05  0.00000000e+00
