# xp yp zp Ez Er |E| Hp
# 1111 7
# 1 11 101 7
 2.88032000e-02  0.00000000e+00  0.00000000e+00 -1.07309500e+06  0.00000000e+00  1.07309500e+06  0.00000000e+00
 2.93910000e-02  0.00000000e+00  0.00000000e+00 -1.07323400e+06  0.00000000e+00  1.07323400e+06  0.00000000e+00
 2.99788000e-02  0.00000000e+00  0.00000000e+00 -1.07373300e+06  0.00000000e+00  1.07373300e+06  0.00000000e+00
 3.05666000e-02  0.00000000e+00  0.00000000e+00 -1.07592700e+06  0.00000000e+00  1.07592700e+06  0.00000000e+00
 3.11545000e-02  0.00000000e+00  0.00000000e+00 -1.07779300e+06  0.00000000e+00  1.07779300e+06  0.00000000e+00
 3.17423000e-02  0.00000000e+00  0.00000000e+00 -1.08157200e+06  0.00000000e+00  1.08157200e+06  0.00000000e+00
 3.23301000e-02  0.00000000e+00  0.00000000e+00 -1.08379100e+06  0.00000000e+00  1.08379100e+06  0.00000000e+00
 3.29179000e-02  0.00000000e+00  0.00000000e+00 -1.08544800e+06  0.00000000e+00  1.08544800e+06  0.00000000e+00
 3.35057000e-02  0.00000000e+00  0.00000000e+00 -1.08861500e+06  0.00000000e+00  1.08861500e+06  0.00000000e+00
 3.40936000e-02  0.00000000e+00  0.00000000e+00 -1.08826200e+06  0.00000000e+00  1.08826200e+06  0.00000000e+00
 3.46814000e-02  0.00000000e+00  0.00000000e+00 -1.08842800e+06  0.00000000e+00  1.08842800e+06  0.00000000e+00
 3.52692000e-02  0.00000000e+00  0.00000000e+00 -1.08407100e+06  0.00000000e+00  1.08407100e+06  0.00000000e+00
 3.58570000e-02  0.00000000e+00  0.00000000e+00 -1.07922500e+06  0.00000000e+00  1.07922500e+06  0.00000000e+00
 3.64448000e-02  0.00000000e+00  0.00000000e+00 -1.06888300e+06  0.00000000e+00  1.06888300e+06  0.00000000e+00
 3.70327000e-02  0.00000000e+00  0.00000000e+00 -1.05491100e+06  0.00000000e+00  1.05491100e+06  0.00000000e+00
 3.76205000e-02  0.00000000e+00  0.00000000e+00 -1.03891400e+06  0.00000000e+00  1.03891400e+06  0.00000000e+00
 3.82083000e-02  0.00000000e+00  0.00000000e+00 -1.01620900e+06  0.00000000e+00  1.01620900e+06  0.00000000e+00
 3.87961000e-02  0.00000000e+00  0.00000000e+00 -9.90585600e+05  0.00000000e+00  9.90585600e+05  0.00000000e+00
 3.93839000e-02  0.00000000e+00  0.00000000e+00 -9.57368100e+05  0.00000000e+00  9.57368100e+05  0.00000000e+00
 3.99718000e-02  0.00000000e+00  0.00000000e+00 -9.18301000e+05  0.00000000e+00  9.18301000e+05  0.00000000e+00
 4.05596000e-02  0.00000000e+00  0.00000000e+00 -8.75006800e+05  0.00000000e+00  8.75006800e+05  0.00000000e+00
 4.11474000e-02  0.00000000e+00  0.00000000e+00 -8.23047700e+05  0.00000000e+00  8.23047700e+05  0.00000000e+00
 4.17352000e-02  0.00000000e+00  0.00000000e+00 -7.65909100e+05  0.00000000e+00  7.65909100e+05  0.00000000e+00
 4.23230000e-02  0.00000000e+00  0.00000000e+00 -6.99655800e+05  0.00000000e+00  6.99655800e+05  0.00000000e+00
 4.29109000e-02  0.00000000e+00  0.00000000e+00 -6.26217900e+05  0.00000000e+00  6.26217900e+05  0.00000000e+00
 4.34987000e-02  0.00000000e+00  0.00000000e+00 -5.45775500e+05  0.00000000e+00  5.45775500e+05  0.00000000e+00
 4.40865000e-02  0.00000000e+00  0.00000000e+00 -4.57071600e+05  0.00000000e+00  4.57071600e+05  0.00000000e+00
 4.46743000e-02  0.00000000e+00  0.00000000e+00 -3.60335400e+05  0.00000000e+00  3.60335400e+05  0.00000000e+00
 4.52621000e-02  0.00000000e+00  0.00000000e+00 -2.56695300e+05  0.00000000e+00  2.56695300e+05  0.00000000e+00
 4.58500000e-02  0.00000000e+00  0.00000000e+00 -1.46923700e+05  0.00000000e+00  1.46923700e+05  0.00000000e+00
 4.64378000e-02  0.00000000e+00  0.00000000e+00 -2.74298600e+04  0.00000000e+00  2.74298600e+04  0.00000000e+00
 4.70256000e-02  0.00000000e+00  0.00000000e+00  9.43320300e+04  0.00000000e+00  9.43320300e+04  0.00000000e+00
 4.76134000e-02  0.00000000e+00  0.00000000e+00  2.25319800e+05  0.00000000e+00  2.25319800e+05  0.00000000e+00
 4.82012000e-02  0.00000000e+00  0.00000000e+00  3.55231000e+05  0.00000000e+00  3.55231000e+05  0.00000000e+00
 4.87891000e-02  0.00000000e+00  0.00000000e+00  4.92985400e+05  0.00000000e+00  4.92985400e+05  0.00000000e+00
 4.93769000e-02  0.00000000e+00  0.00000000e+00  6.25850800e+05  0.00000000e+00  6.25850800e+05  0.00000000e+00
 4.99647000e-02  0.00000000e+00  0.00000000e+00  7.58094300e+05  0.00000000e+00  7.58094300e+05  0.00000000e+00
 5.05525000e-02  0.00000000e+00  0.00000000e+00  8.94363700e+05  0.00000000e+00  8.94363700e+05  0.00000000e+00
 5.11403000e-02  0.00000000e+00  0.00000000e+00  1.02124900e+06  0.00000000e+00  1.02124900e+06  0.00000000e+00
 5.17282000e-02  0.00000000e+00  0.00000000e+00  1.14859200e+06  0.00000000e+00  1.14859200e+06  0.00000000e+00
 5.23160000e-02  0.00000000e+00  0.00000000e+00  1.26452700e+06  0.00000000e+00  1.26452700e+06  0.00000000e+00
 5.29038000e-02  0.00000000e+00  0.00000000e+00  1.37387500e+06  0.00000000e+00  1.37387500e+06  0.00000000e+00
 5.34916000e-02  0.00000000e+00  0.00000000e+00  1.47805700e+06  0.00000000e+00  1.47805700e+06  0.00000000e+00
 5.40794000e-02  0.00000000e+00  0.00000000e+00  1.57027000e+06  0.00000000e+00  1.57027000e+06  0.00000000e+00
 5.46673000e-02  0.00000000e+00  0.00000000e+00  1.65461200e+06  0.00000000e+00  1.65461200e+06  0.00000000e+00
 5.52551000e-02  0.00000000e+00  0.00000000e+00  1.72692100e+06  0.00000000e+00  1.72692100e+06  0.00000000e+00
 5.58429000e-02  0.00000000e+00  0.00000000e+00  1.78879000e+06  0.00000000e+00  1.78879000e+06  0.00000000e+00
