# xp yp zp Ez Er |E| Hp
# 1166 7
# 1 11 106 7
 2.39691000e-02  0.00000000e+00  0.00000000e+00 -4.93533700e+05  0.00000000e+00  4.93533700e+05  0.00000000e+00
 2.49679000e-02  0.00000000e+00  0.00000000e+00 -5.84828900e+05  0.00000000e+00  5.84828900e+05  0.00000000e+00
 2.59666000e-02  0.00000000e+00  0.00000000e+00 -6.61248600e+05  0.00000000e+00  6.61248600e+05  0.00000000e+00
 2.69653000e-02  0.00000000e+00  0.00000000e+00 -7.25676700e+05  0.00000000e+00  7.25676700e+05  0.00000000e+00
 2.79640000e-02  0.00000000e+00  0.00000000e+00 -7.79590900e+05  0.00000000e+00  7.79590900e+05  0.00000000e+00
 2.89627000e-02  0.00000000e+00  0.00000000e+00 -8.24421700e+05  0.00000000e+00  8.24421700e+05  0.00000000e+00
 2.99614000e-02  0.00000000e+00  0.00000000e+00 -8.60235200e+05  0.00000000e+00  8.60235200e+05  0.00000000e+00
 3.09601000e-02  0.00000000e+00  0.00000000e+00 -8.90868000e+05  0.00000000e+00  8.90868000e+05  0.00000000e+00
 3.19589000e-02  0.00000000e+00  0.00000000e+00 -9.16677200e+05  0.00000000e+00  9.16677200e+05  0.00000000e+00
 3.29576000e-02  0.00000000e+00  0.00000000e+00 -9.36606000e+05  0.00000000e+00  9.36606000e+05  0.00000000e+00
 3.39563000e-02  0.00000000e+00  0.00000000e+00 -9.52344300e+05  0.00000000e+00  9.52344300e+05  0.00000000e+00
 3.49550000e-02  0.00000000e+00  0.00000000e+00 -9.64409300e+05  0.00000000e+00  9.64409300e+05  0.00000000e+00
 3.59537000e-02  0.00000000e+00  0.00000000e+00 -9.73198800e+05  0.00000000e+00  9.73198800e+05  0.00000000e+00
 3.69524000e-02  0.00000000e+00  0.00000000e+00 -9.78816200e+05  0.00000000e+00  9.78816200e+05  0.00000000e+00
 3.79511000e-02  0.00000000e+00  0.00000000e+00 -9.81932100e+05  0.00000000e+00  9.81932100e+05  0.00000000e+00
 3.89499000e-02  0.00000000e+00  0.00000000e+00 -9.82466800e+05  0.00000000e+00  9.82466800e+05  0.00000000e+00
 3.99486000e-02  0.00000000e+00  0.00000000e+00 -9.80350400e+05  0.00000000e+00  9.80350400e+05  0.00000000e+00
 4.09473000e-02  0.00000000e+00  0.00000000e+00 -9.75766100e+05  0.00000000e+00  9.75766100e+05  0.00000000e+00
 4.19460000e-02  0.00000000e+00  0.00000000e+00 -9.68776100e+05  0.00000000e+00  9.68776100e+05  0.00000000e+00
 4.29447000e-02  0.00000000e+00  0.00000000e+00 -9.59472600e+05  0.00000000e+00  9.59472600e+05  0.00000000e+00
 4.39434000e-02  0.00000000e+00  0.00000000e+00 -9.47696000e+05  0.00000000e+00  9.47696000e+05  0.00000000e+00
 4.49421000e-02  0.00000000e+00  0.00000000e+00 -9.34160800e+05  0.00000000e+00  9.34160800e+05  0.00000000e+00
 4.59409000e-02  0.00000000e+00  0.00000000e+00 -9.19897500e+05  0.00000000e+00  9.19897500e+05  0.00000000e+00
 4.69396000e-02  0.00000000e+00  0.00000000e+00 -9.04287400e+05  0.00000000e+00  9.04287400e+05  0.00000000e+00
 4.79383000e-02  0.00000000e+00  0.00000000e+00 -8.88681600e+05  0.00000000e+00  8.88681600e+05  0.00000000e+00
 4.89370000e-02  0.00000000e+00  0.00000000e+00 -8.74097400e+05  0.00000000e+00  8.74097400e+05  0.00000000e+00
 4.99357000e-02  0.00000000e+00  0.00000000e+00 -8.61666400e+05  0.00000000e+00  8.61666400e+05  0.00000000e+00
 5.09344000e-02  0.00000000e+00  0.00000000e+00 -8.51833700e+05  0.00000000e+00  8.51833700e+05  0.00000000e+00
 5.19331000e-02  0.00000000e+00  0.00000000e+00 -8.47343400e+05  0.00000000e+00  8.47343400e+05  0.00000000e+00
 5.29319000e-02  0.00000000e+00  0.00000000e+00 -8.47327000e+05  0.00000000e+00  8.47327000e+05  0.00000000e+00
 5.39306000e-02  0.00000000e+00  0.00000000e+00 -8.51940400e+05  0.00000000e+00  8.51940400e+05  0.00000000e+00
 5.49293000e-02  0.00000000e+00  0.00000000e+00 -8.60928300e+05  0.00000000e+00  8.60928300e+05  0.00000000e+00
 5.59280000e-02  0.00000000e+00  0.00000000e+00 -8.73411100e+05  0.00000000e+00  8.73411100e+05  0.00000000e+00
 5.69267000e-02  0.00000000e+00  0.00000000e+00 -8.88250800e+05  0.00000000e+00  8.88250800e+05  0.00000000e+00
 5.79254000e-02  0.00000000e+00  0.00000000e+00 -9.05185300e+05  0.00000000e+00  9.05185300e+05  0.00000000e+00
 5.89241000e-02  0.00000000e+00  0.00000000e+00 -9.21003800e+05  0.00000000e+00  9.21003800e+05  0.00000000e+00
 5.99229000e-02  0.00000000e+00  0.00000000e+00 -9.35507100e+05  0.00000000e+00  9.35507100e+05  0.00000000e+00
 6.09216000e-02  0.00000000e+00  0.00000000e+00 -9.49203800e+05  0.00000000e+00  9.49203800e+05  0.00000000e+00
 6.19203000e-02  0.00000000e+00  0.00000000e+00 -9.60940600e+05  0.00000000e+00  9.60940600e+05  0.00000000e+00
 6.29190000e-02  0.00000000e+00  0.00000000e+00 -9.70444200e+05  0.00000000e+00  9.70444200e+05  0.00000000e+00
 6.39177000e-02  0.00000000e+00  0.00000000e+00 -9.77563400e+05  0.00000000e+00  9.77563400e+05  0.00000000e+00
