# xp yp zp Ex Ey Ez
# 1111 6
# 101 1 11 6
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 1.00000000e-03  0.00000000e+00  0.00000000e+00  3.42635300e+04  0.00000000e+00  0.00000000e+00
 2.00000000e-03  0.00000000e+00  0.00000000e+00  6.88328100e+04  0.00000000e+00  0.00000000e+00
 3.00000000e-03  0.00000000e+00  0.00000000e+00  9.76664100e+04  0.00000000e+00  0.00000000e+00
 4.00000000e-03  0.00000000e+00  0.00000000e+00  1.27500600e+05  0.00000000e+00  0.00000000e+00
 5.00000000e-03  0.00000000e+00  0.00000000e+00  1.48893900e+05  0.00000000e+00  0.00000000e+00
 6.00000000e-03  0.00000000e+00  0.00000000e+00  1.69545800e+05  0.00000000e+00  0.00000000e+00
 7.00000000e-03  0.00000000e+00  0.00000000e+00  1.82013200e+05  0.00000000e+00  0.00000000e+00
 8.00000000e-03  0.00000000e+00  0.00000000e+00  1.87306300e+05  0.00000000e+00  0.00000000e+00
 9.00000000e-03  0.00000000e+00  0.00000000e+00  1.85939800e+05  0.00000000e+00  0.00000000e+00
 1.00000000e-02  0.00000000e+00  0.00000000e+00  1.77621800e+05  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  5.87820000e-04  0.00000000e+00  0.00000000e+00 -4.14601100e+04
 1.00000000e-03  0.00000000e+00  5.87820000e-04  3.42635300e+04  0.00000000e+00 -3.96923100e+04
 2.00000000e-03  0.00000000e+00  5.87820000e-04  6.80508900e+04  0.00000000e+00 -3.84496400e+04
 3.00000000e-03  0.00000000e+00  5.87820000e-04  9.76664100e+04  0.00000000e+00 -3.52907300e+04
 4.00000000e-03  0.00000000e+00  5.87820000e-04  1.27500600e+05  0.00000000e+00 -3.30503700e+04
 5.00000000e-03  0.00000000e+00  5.87820000e-04  1.53305000e+05  0.00000000e+00 -2.96200400e+04
 6.00000000e-03  0.00000000e+00  5.87820000e-04  1.69545800e+05  0.00000000e+00 -2.46179800e+04
 7.00000000e-03  0.00000000e+00  5.87820000e-04  1.84745100e+05  0.00000000e+00 -1.96885700e+04
 8.00000000e-03  0.00000000e+00  5.87820000e-04  1.87306300e+05  0.00000000e+00 -1.38745100e+04
 9.00000000e-03  0.00000000e+00  5.87820000e-04  1.85939800e+05  0.00000000e+00 -9.97296400e+03
 1.00000000e-02  0.00000000e+00  5.87820000e-04  1.77621800e+05  0.00000000e+00 -3.10512900e+03
 0.00000000e+00  0.00000000e+00  1.17564000e-03  0.00000000e+00  0.00000000e+00 -8.52934400e+04
 1.00000000e-03  0.00000000e+00  1.17564000e-03  3.51339900e+04  0.00000000e+00 -8.12680500e+04
 2.00000000e-03  0.00000000e+00  1.17564000e-03  6.80508900e+04  0.00000000e+00 -7.68992800e+04
 3.00000000e-03  0.00000000e+00  1.17564000e-03  1.00995300e+05  0.00000000e+00 -7.30923500e+04
 4.00000000e-03  0.00000000e+00  1.17564000e-03  1.26886900e+05  0.00000000e+00 -6.54260800e+04
 5.00000000e-03  0.00000000e+00  1.17564000e-03  1.53305000e+05  0.00000000e+00 -5.92400700e+04
 6.00000000e-03  0.00000000e+00  1.17564000e-03  1.75161900e+05  0.00000000e+00 -5.08114800e+04
 7.00000000e-03  0.00000000e+00  1.17564000e-03  1.84745100e+05  0.00000000e+00 -3.93771300e+04
 8.00000000e-03  0.00000000e+00  1.17564000e-03  1.94128200e+05  0.00000000e+00 -2.82770200e+04
 9.00000000e-03  0.00000000e+00  1.17564000e-03  1.88878900e+05  0.00000000e+00 -1.64553700e+04
 1.00000000e-02  0.00000000e+00  1.17564000e-03  1.80415100e+05  0.00000000e+00 -9.11537200e+03
 0.00000000e+00  0.00000000e+00  1.76346000e-03  0.00000000e+00  0.00000000e+00 -1.27940200e+05
 1.00000000e-03  0.00000000e+00  1.76346000e-03  3.51339900e+04  0.00000000e+00 -1.21902100e+05
 2.00000000e-03  0.00000000e+00  1.76346000e-03  6.99852600e+04  0.00000000e+00 -1.18340500e+05
 3.00000000e-03  0.00000000e+00  1.76346000e-03  1.00109200e+05  0.00000000e+00 -1.08053100e+05
 4.00000000e-03  0.00000000e+00  1.76346000e-03  1.31240800e+05  0.00000000e+00 -1.02024900e+05
 5.00000000e-03  0.00000000e+00  1.76346000e-03  1.58689400e+05  0.00000000e+00 -9.21115800e+04
 6.00000000e-03  0.00000000e+00  1.76346000e-03  1.75161900e+05  0.00000000e+00 -7.62172200e+04
 7.00000000e-03  0.00000000e+00  1.76346000e-03  1.92158700e+05  0.00000000e+00 -6.12412700e+04
 8.00000000e-03  0.00000000e+00  1.76346000e-03  1.94128200e+05  0.00000000e+00 -4.24155200e+04
 9.00000000e-03  0.00000000e+00  1.76346000e-03  1.96918100e+05  0.00000000e+00 -2.43447000e+04
 1.00000000e-02  0.00000000e+00  1.76346000e-03  1.83798100e+05  0.00000000e+00 -7.66694300e+03
 0.00000000e+00  0.00000000e+00  2.35128000e-03  0.00000000e+00  0.00000000e+00 -1.65608000e+05
 1.00000000e-03  0.00000000e+00  2.35128000e-03  3.61596000e+04  0.00000000e+00 -1.60440700e+05
 2.00000000e-03  0.00000000e+00  2.35128000e-03  6.99852600e+04  0.00000000e+00 -1.57787400e+05
 3.00000000e-03  0.00000000e+00  2.35128000e-03  1.06207600e+05  0.00000000e+00 -1.47829500e+05
 4.00000000e-03  0.00000000e+00  2.35128000e-03  1.38122500e+05  0.00000000e+00 -1.37067000e+05
 5.00000000e-03  0.00000000e+00  2.35128000e-03  1.58689400e+05  0.00000000e+00 -1.22815400e+05
 6.00000000e-03  0.00000000e+00  2.35128000e-03  1.84593800e+05  0.00000000e+00 -1.04162500e+05
 7.00000000e-03  0.00000000e+00  2.35128000e-03  1.92158700e+05  0.00000000e+00 -8.16550300e+04
 8.00000000e-03  0.00000000e+00  2.35128000e-03  2.04705900e+05  0.00000000e+00 -5.98837300e+04
 9.00000000e-03  0.00000000e+00  2.35128000e-03  1.96918100e+05  0.00000000e+00 -3.24596000e+04
 1.00000000e-02  0.00000000e+00  2.35128000e-03  1.87885400e+05  0.00000000e+00 -1.83853700e+04
 0.00000000e+00  0.00000000e+00  2.93910000e-03  0.00000000e+00  0.00000000e+00 -2.09200000e+05
 1.00000000e-03  0.00000000e+00  2.93910000e-03  3.79991600e+04  0.00000000e+00 -2.04032700e+05
 2.00000000e-03  0.00000000e+00  2.93910000e-03  7.52542600e+04  0.00000000e+00 -1.97161700e+05
 3.00000000e-03  0.00000000e+00  2.93910000e-03  1.13845900e+05  0.00000000e+00 -1.89037200e+05
 4.00000000e-03  0.00000000e+00  2.93910000e-03  1.46126600e+05  0.00000000e+00 -1.73287500e+05
 5.00000000e-03  0.00000000e+00  2.93910000e-03  1.74324600e+05  0.00000000e+00 -1.56355400e+05
 6.00000000e-03  0.00000000e+00  2.93910000e-03  1.96822600e+05  0.00000000e+00 -1.32148300e+05
 7.00000000e-03  0.00000000e+00  2.93910000e-03  2.12532200e+05  0.00000000e+00 -1.06631600e+05
 8.00000000e-03  0.00000000e+00  2.93910000e-03  2.20093800e+05  0.00000000e+00 -7.65356200e+04
 9.00000000e-03  0.00000000e+00  2.93910000e-03  2.17540800e+05  0.00000000e+00 -4.54897900e+04
 1.00000000e-02  0.00000000e+00  2.93910000e-03  2.07545200e+05  0.00000000e+00 -1.69883100e+04
 0.00000000e+00  0.00000000e+00  3.52692000e-03  0.00000000e+00  0.00000000e+00 -2.57585400e+05
 1.00000000e-03  0.00000000e+00  3.52692000e-03  4.04048200e+04  0.00000000e+00 -2.50594300e+05
 2.00000000e-03  0.00000000e+00  3.52692000e-03  7.96312900e+04  0.00000000e+00 -2.42684100e+05
 3.00000000e-03  0.00000000e+00  3.52692000e-03  1.19195400e+05  0.00000000e+00 -2.32072700e+05
 4.00000000e-03  0.00000000e+00  3.52692000e-03  1.55823700e+05  0.00000000e+00 -2.15371600e+05
 5.00000000e-03  0.00000000e+00  3.52692000e-03  1.86433000e+05  0.00000000e+00 -1.91528900e+05
 6.00000000e-03  0.00000000e+00  3.52692000e-03  2.11970700e+05  0.00000000e+00 -1.65376500e+05
 7.00000000e-03  0.00000000e+00  3.52692000e-03  2.29617600e+05  0.00000000e+00 -1.31538700e+05
 8.00000000e-03  0.00000000e+00  3.52692000e-03  2.38706700e+05  0.00000000e+00 -9.51443200e+04
 9.00000000e-03  0.00000000e+00  3.52692000e-03  2.37372800e+05  0.00000000e+00 -5.65269700e+04
 1.00000000e-02  0.00000000e+00  3.52692000e-03  2.24796600e+05  0.00000000e+00 -1.76925000e+04
 0.00000000e+00  0.00000000e+00  4.11474000e-03  0.00000000e+00  0.00000000e+00 -3.08459700e+05
 1.00000000e-03  0.00000000e+00  4.11474000e-03  4.30125200e+04  0.00000000e+00 -2.99963400e+05
 2.00000000e-03  0.00000000e+00  4.11474000e-03  8.53283200e+04  0.00000000e+00 -2.90481700e+05
 3.00000000e-03  0.00000000e+00  4.11474000e-03  1.28925200e+05  0.00000000e+00 -2.78686100e+05
 4.00000000e-03  0.00000000e+00  4.11474000e-03  1.65740700e+05  0.00000000e+00 -2.59153100e+05
 5.00000000e-03  0.00000000e+00  4.11474000e-03  2.01318000e+05  0.00000000e+00 -2.33250800e+05
 6.00000000e-03  0.00000000e+00  4.11474000e-03  2.29383500e+05  0.00000000e+00 -1.99139400e+05
 7.00000000e-03  0.00000000e+00  4.11474000e-03  2.51160000e+05  0.00000000e+00 -1.61225100e+05
 8.00000000e-03  0.00000000e+00  4.11474000e-03  2.61766100e+05  0.00000000e+00 -1.15796200e+05
 9.00000000e-03  0.00000000e+00  4.11474000e-03  2.60930400e+05  0.00000000e+00 -6.65252000e+04
 1.00000000e-02  0.00000000e+00  4.11474000e-03  2.49896100e+05  0.00000000e+00 -2.16709100e+04
 0.00000000e+00  0.00000000e+00  4.70256000e-03  0.00000000e+00  0.00000000e+00 -3.60789000e+05
 1.00000000e-03  0.00000000e+00  4.70256000e-03  4.60101600e+04  0.00000000e+00 -3.52292700e+05
 2.00000000e-03  0.00000000e+00  4.70256000e-03  9.13818400e+04  0.00000000e+00 -3.41763400e+05
 3.00000000e-03  0.00000000e+00  4.70256000e-03  1.36533000e+05  0.00000000e+00 -3.28833000e+05
 4.00000000e-03  0.00000000e+00  4.70256000e-03  1.79803000e+05  0.00000000e+00 -3.06817700e+05
 5.00000000e-03  0.00000000e+00  4.70256000e-03  2.16823200e+05  0.00000000e+00 -2.78645100e+05
 6.00000000e-03  0.00000000e+00  4.70256000e-03  2.51045200e+05  0.00000000e+00 -2.39983600e+05
 7.00000000e-03  0.00000000e+00  4.70256000e-03  2.75212200e+05  0.00000000e+00 -1.92827400e+05
 8.00000000e-03  0.00000000e+00  4.70256000e-03  2.91054600e+05  0.00000000e+00 -1.39685000e+05
 9.00000000e-03  0.00000000e+00  4.70256000e-03  2.90900100e+05  0.00000000e+00 -8.07664300e+04
 1.00000000e-02  0.00000000e+00  4.70256000e-03  2.74909000e+05  0.00000000e+00 -1.77506200e+04
 0.00000000e+00  0.00000000e+00  5.29038000e-03  0.00000000e+00  0.00000000e+00 -4.17962300e+05
 1.00000000e-03  0.00000000e+00  5.29038000e-03  4.92458300e+04  0.00000000e+00 -4.08481000e+05
